Date,Price
29-10-18,18000
30-10-18,17950
31-10-18,17950
01-11-18,17950
02-11-18,17950
05-11-18,17950
06-11-18,17950
07-11-18,17950
08-11-18,18000
09-11-18,18050
12-11-18,18150
13-11-18,18150
14-11-18,18150
15-11-18,18200
16-11-18,18200
19-11-18,18200
20-11-18,18200
21-11-18,18200
22-11-18,18250
23-11-18,18350
26-11-18,18350
27-11-18,18350
28-11-18,18350
29-11-18,18350
30-11-18,18350
03-12-18,18350
04-12-18,18350
05-12-18,18300
06-12-18,18250
07-12-18,18200
10-12-18,18100
11-12-18,18000
12-12-18,17900
13-12-18,17750
14-12-18,17750
17-12-18,17750
18-12-18,17750
19-12-18,17750
20-12-18,17650
21-12-18,17500
24-12-18,17350
25-12-18,17200
26-12-18,17050
27-12-18,17050
28-12-18,16950
02-01-19,16850
03-01-19,16750
04-01-19,16650
07-01-19,16600
08-01-19,16500
09-01-19,16500
10-01-19,16500
11-01-19,16500
14-01-19,16600
15-01-19,16800
16-01-19,17150
17-01-19,17150
18-01-19,17150
21-01-19,17150
22-01-19,17150
23-01-19,17150
24-01-19,17050
25-01-19,16950
28-01-19,16900
29-01-19,16850
30-01-19,16850
31-01-19,16850
01-02-19,16850
11-02-19,16850
12-02-19,16850
13-02-19,16900
14-02-19,17000
15-02-19,17050
18-02-19,17050
19-02-19,17050
20-02-19,16950
21-02-19,16900
22-02-19,16850
25-02-19,16850
26-02-19,16950
27-02-19,16950
28-02-19,16950
01-03-19,16950
04-03-19,17050
05-03-19,17250
06-03-19,17250
07-03-19,17350
08-03-19,17350
11-03-19,17350
12-03-19,17450
13-03-19,17550
14-03-19,17550
15-03-19,17550
18-03-19,17550
19-03-19,17450
20-03-19,17350
21-03-19,17250
22-03-19,17150
25-03-19,16950
26-03-19,16950
27-03-19,17050
28-03-19,17050
29-03-19,17050
01-04-19,17050
02-04-19,16950
03-04-19,16850
04-04-19,16850
08-04-19,16850
09-04-19,16850
10-04-19,16850
11-04-19,16850
12-04-19,16850
15-04-19,16950
16-04-19,16950
17-04-19,16950
18-04-19,16900
19-04-19,16850
22-04-19,16850
23-04-19,16850
24-04-19,16850
25-04-19,16800
26-04-19,16800
29-04-19,16800
30-04-19,16800
06-05-19,16800
07-05-19,16800
08-05-19,16800
09-05-19,16800
10-05-19,16850
13-05-19,16850
14-05-19,16850
15-05-19,16850
16-05-19,16850
17-05-19,16850
20-05-19,16850
21-05-19,16850
22-05-19,16850
23-05-19,16850
24-05-19,16850
27-05-19,16850
28-05-19,16800
29-05-19,16750
30-05-19,16750
31-05-19,16700
03-06-19,16650
04-06-19,16600
05-06-19,16550
06-06-19,16550
10-06-19,16450
11-06-19,16400
12-06-19,16350
13-06-19,16250
14-06-19,16150
17-06-19,16050
18-06-19,15950
19-06-19,15900
20-06-19,15850
21-06-19,15750
24-06-19,15750
25-06-19,15750
26-06-19,15750
27-06-19,15750
28-06-19,15750
01-07-19,15600
02-07-19,15550
03-07-19,15500
04-07-19,15500
05-07-19,15500
08-07-19,15500
09-07-19,15450
10-07-19,15450
11-07-19,15500
12-07-19,15650
15-07-19,15850
16-07-19,15850
17-07-19,15850
18-07-19,15850
19-07-19,15800
22-07-19,15700
23-07-19,15650
24-07-19,15600
25-07-19,15550
26-07-19,15500
29-07-19,15500
30-07-19,15500
31-07-19,15500
01-08-19,15500
02-08-19,15550
05-08-19,15550
06-08-19,15550
07-08-19,15600
08-08-19,15600
09-08-19,15650
12-08-19,15650
13-08-19,15700
14-08-19,15800
15-08-19,15850
16-08-19,15850
19-08-19,15850
20-08-19,15850
21-08-19,15800
22-08-19,15800
23-08-19,15800
26-08-19,15700
27-08-19,15600
28-08-19,15550
29-08-19,15500
30-08-19,15450
02-09-19,15400
03-09-19,15400
04-09-19,15350
05-09-19,15300
06-09-19,15250
09-09-19,15250
10-09-19,15250
11-09-19,15250
12-09-19,15250
16-09-19,15150
17-09-19,15100
18-09-19,15050
19-09-19,15000
20-09-19,14950
23-09-19,14950
24-09-19,14950
25-09-19,14950
26-09-19,14950
27-09-19,14950
08-10-19,14850
09-10-19,14800
10-10-19,14750
11-10-19,14700
14-10-19,14500
15-10-19,14350
16-10-19,14350
17-10-19,14350
18-10-19,14350
21-10-19,14350
22-10-19,14350
23-10-19,14400
24-10-19,14400
25-10-19,14400
28-10-19,14400
29-10-19,14350
30-10-19,14350
31-10-19,14450
01-11-19,14450
04-11-19,14450
05-11-19,14450
06-11-19,14400
07-11-19,14350
08-11-19,14300
11-11-19,14300
12-11-19,14300
13-11-19,14250
14-11-19,14200
15-11-19,14200
18-11-19,14150
19-11-19,14150
20-11-19,14150
21-11-19,14150
22-11-19,14100
25-11-19,14100
26-11-19,14100
27-11-19,14100
28-11-19,14050
29-11-19,14050
02-12-19,14000
03-12-19,13950
04-12-19,13950
05-12-19,13900
06-12-19,13850
09-12-19,13800
10-12-19,13800
11-12-19,13850
12-12-19,13900
13-12-19,13900
16-12-19,13900
17-12-19,13900
18-12-19,13900
19-12-19,13850
20-12-19,13950
23-12-19,14000
24-12-19,14050
25-12-19,14050
26-12-19,14150
27-12-19,14150
30-12-19,14150
31-12-19,14150
02-01-20,14150
03-01-20,14100
06-01-20,14100
07-01-20,14100
08-01-20,14050
09-01-20,14050
10-01-20,14050
13-01-20,14050
14-01-20,14050
15-01-20,14050
16-01-20,14050
17-01-20,14050
20-01-20,14050
21-01-20,14050
03-02-20,14050
04-02-20,14050
05-02-20,14050
06-02-20,14150
07-02-20,14350
10-02-20,14450
11-02-20,14550
12-02-20,14650
13-02-20,14650
14-02-20,15050
17-02-20,15050
18-02-20,15050
19-02-20,15050
20-02-20,15050
21-02-20,15050
24-02-20,14950
25-02-20,14900
26-02-20,14850
27-02-20,14750
28-02-20,14600
02-03-20,14500
03-03-20,14350
04-03-20,14250
05-03-20,14150
06-03-20,14100
09-03-20,14100
10-03-20,14050
11-03-20,14050
12-03-20,13900
13-03-20,13900
16-03-20,13900
17-03-20,13900
18-03-20,13900
19-03-20,13950
20-03-20,14050
23-03-20,14050
24-03-20,14000
25-03-20,13900
26-03-20,13850
27-03-20,13800
30-03-20,13750
31-03-20,13650
01-04-20,13550
02-04-20,13500
03-04-20,13450
07-04-20,13350
08-04-20,13250
09-04-20,13150
10-04-20,13050
13-04-20,12950
14-04-20,12900
15-04-20,12950
16-04-20,13050
17-04-20,13100
20-04-20,13200
21-04-20,13250
22-04-20,13250
23-04-20,13200
24-04-20,13150
27-04-20,13100
28-04-20,13050
29-04-20,13050
30-04-20,13150
06-05-20,13200
07-05-20,13300
08-05-20,13400
11-05-20,13400
12-05-20,13350
13-05-20,13350
14-05-20,13300
15-05-20,13250
18-05-20,13200
19-05-20,13150
20-05-20,13150
21-05-20,13150
22-05-20,13200
25-05-20,13250
26-05-20,13300
27-05-20,13300
28-05-20,13250
29-05-20,13200
01-06-20,13200
02-06-20,13200
03-06-20,13200
04-06-20,13200
05-06-20,13200
08-06-20,13200
09-06-20,13200
10-06-20,13200
11-06-20,13200
12-06-20,13200
15-06-20,13200
16-06-20,13200
17-06-20,13150
18-06-20,13150
19-06-20,13150
22-06-20,13200
23-06-20,13350
24-06-20,13350
29-06-20,13300
30-06-20,13200
01-07-20,13200
02-07-20,13150
03-07-20,13150
06-07-20,13100
07-07-20,13100
08-07-20,13050
09-07-20,13050
10-07-20,13000
13-07-20,12950
14-07-20,12950
15-07-20,12950
16-07-20,12950
17-07-20,12950
20-07-20,12950
21-07-20,12950
22-07-20,12950
23-07-20,12950
24-07-20,12950
27-07-20,12950
28-07-20,12950
29-07-20,12950
30-07-20,12950
31-07-20,12950
03-08-20,12950
04-08-20,12950
05-08-20,12950
06-08-20,12950
07-08-20,12950
10-08-20,12950
11-08-20,12950
12-08-20,12950
13-08-20,12900
14-08-20,12900
17-08-20,12900
18-08-20,12900
19-08-20,12900
20-08-20,12850
21-08-20,12850
24-08-20,12850
